xe;ye;ze;alpha;beta;gamma
11.92617893;3.541193008;61.831707;165.5859528;-55.36556625;141.6471558
39.60645294;-46.6174469;8.113030434;-174.8683167;55.9899826;1.259869814
-0.39201656;-12.990345;45.8171196;93.16356659;-49.2972374;-88.5255661
-7.966961384;-3.083202124;37.47234344;-126.4560242;-10.34061909;-179.2739105
-10.67294788;-7.22189045;40.09753799;-0.205012202;73.68990326;-0.717953444
-23.70757866;-8.254119873;108.1954422;-10.14224052;-14.09728241;-65.95427704
-10.26036453;-9.590209961;30.97047424;125.8541718;-13.75494003;72.7821579
14.65562248;-25.8639679;24.24684143;52.32610321;-26.95249176;-24.51516914
-4.442834854;19.17015266;51.77938843;172.8571472;2.290885687;-168.8898315
-8.58369E-05;0.264381409;2.127955914;161.8492584;86.98766327;-75.7791214
0.144390538;-0.065190956;0.843678892;92.40239716;42.8412323;89.33831787
0.142097473;-0.427183509;0.68210274;92.93525696;-36.2702446;-123.4389496
0.139661148;-0.157321826;0.820723057;151.4406433;-76.93417358;-9.710976601
0.513223946;0.226313561;0.594392776;-79.96457672;-4.806282997;-19.18561172
0.061010528;-0.272565603;0.712913752;-177.5372314;-0.209107965;15.14510441
0.694013357;-0.5629614;1.514522552;-49.04554367;-8.781633377;160.0059814
-0.146323189;-0.168642774;0.89914465;-103.8092728;39.19644928;-64.04405212
-0.813083053;-0.389047176;1.379938602;-5.067159653;-24.60816193;-151.8156738
-0.345545053;0.051991329;0.747111201;159.9257507;-26.98072243;56.62943268
0.317883074;-0.15932405;1.782249928;-111.3536224;86.49005127;-63.88468552
0.697234571;-0.477515727;0.180851355;-105.1229477;-58.70228577;-49.31690979
-0.095338903;0.096991189;0.863060057;-173.6889496;-4.313345432;-97.75850677
0.349058688;0.02002506;-0.195853189;-114.5879211;25.15887833;68.01971436
-0.287149996;-0.729914725;1.165680408;-107.8539276;-56.52191925;45.54061127
-0.161157638;0.652960837;0.566602588;-52.91955566;44.29827118;-114.5768814
-0.031208389;0.783752263;1.514451623;-95.79621124;78.84709167;105.5189667
-0.052816883;0.210401893;0.649269402;130.3709106;28.24530029;58.59576797
0.203436449;0.103042766;0.980803251;172.2357483;-0.02062525;61.21429443
-0.048637606;0.334823102;-0.127483517;27.99361992;33.18372726;-87.54824066
0.931992173;0.772260845;0.481422395;123.4793854;35.84943008;-81.84165192
-0.180066913;-0.003664354;0.922415376;155.7365875;-63.00260925;101.5896072
-0.155349746;0.187386006;0.80636549;74.78183746;56.82828522;62.44708633
0.059027724;-0.168491885;0.624739945;-173.7829132;23.13972282;38.29669571
0.70692277;0.112359762;0.171199441;173.047348;39.38070679;72.29439545
0.120744936;-0.026931703;1.032553315;-16.69368553;48.45610809;134.6415405
0.675758123;-0.652872562;1.260297775;-81.54998779;-65.95617676;-169.1058502
0.184145927;0.197477102;0.173855752;-54.30654526;78.6749649;171.2674866
0.204872951;-0.247288778;0.663010478;-165.654541;-38.21511078;139.0154877
-0.053579293;0.101632185;0.850478113;45.95366669;-3.32706356;73.17220306
-0.708913684;-0.113754824;-0.108765744;135.1457367;-48.00231552;140.1859131
-0.272871286;0.062311754;0.783966899;33.84241486;37.71413422;67.85658264
0.219375268;-0.04029654;0.827677429;176.3238373;-4.744142532;43.81467056
-0.843416989;0.317363292;1.253345251;137.1432953;-5.205372334;-70.96294403
-0.623267949;-0.35788691;1.310183287;122.894516;-19.79371834;-141.660675
-0.126492217;0.188814014;0.966876209;177.5556183;-1.124243855;93.63505554
0.231543705;-0.275129378;1.822155476;-126.0047607;-42.01399994;-145.4032288
-0.097838715;-0.218398243;0.87606746;87.14844513;-9.270436287;-133.9290771
0.491440713;-0.219845101;-0.037701588;-41.29352951;-2.306554556;-94.90820313
0.699918568;-0.108211741;1.671989322;-31.47828674;-50.03046036;120.9111252
-0.147541717;-0.166689485;1.041250944;-19.65284729;-35.58991623;49.77084732
-0.427701414;-0.596748054;-0.043467764;-60.41954041;42.23943329;64.44177246
0.244097158;0.040147588;0.89280498;-92.67694855;-54.05486298;122.9493637
-0.364916921;0.020313524;-0.390642971;-46.68640518;-21.8918972;139.8951874
0.215240806;0.076821379;0.809625208;-172.1916656;37.57209396;152.2915344
-0.005471796;0.531727791;0.2852723;-171.111618;27.2810173;-68.43546295
0.098668598;0.746658802;1.615941048;-51.6601181;-54.1903801;69.63449097
0.288237333;-0.192858309;1.192520022;95.00282288;61.45921707;-101.8286591
0.100888349;0.180455744;0.777728558;41.36320114;3.853775978;-86.86348724
-0.286671638;-0.463511586;1.629411578;14.92115974;12.77998829;-44.56711578
-0.104313821;0.20953013;0.923430681;-115.8956985;-22.61424446;-99.71891022
-0.56314379;0.016211793;1.662912369;160.75383;-60.48109436;-160.9056702
-0.055165421;0.13023971;0.900310934;135.2840881;-21.93389702;91.06138611
0.236648038;-0.085438631;0.670833945;171.6062012;45.99399567;1.037674665
-0.477896988;0.075651608;-0.051517971;34.08146286;46.34277725;147.2320862
0.86616087;-0.749977827;1.142045021;-102.9452667;71.85888672;-60.60729599
0.209739536;-0.025142254;0.90834856;171.0310669;11.73354626;-102.7640076
0.106048368;-0.877419531;0.044108268;168.532608;78.36915588;-23.04791641
-0.204959422;0.135515541;0.835516274;-145.2839355;0.690705955;-81.26571655
0.115628734;-0.105774224;0.340562284;-10.49202442;35.40720749;-134.565979
-0.1978513;-0.146387532;0.902314365;-92.64235687;-17.67652321;-96.42207336
0.227486655;-0.959308326;1.067602754;79.06450653;-15.26872063;131.2065887
-0.060435593;0.201221213;0.797149956;81.54053497;-27.09329605;-159.3374481
-0.833933532;0.721696198;1.585796714;71.04927826;-66.21942139;170.0775299
