theta1;theta2;theta3;theta4;theta5;theta6
299;118;0;97;-298;-331
181;-127;-313;305;-321;-312
53;-44;-341;-325;-189;-269
94;-17;-281;-47;290;47
166;347;64;2;23;77
191;73;160;-47;106;-233
271;-179;-103;-142;337;-222
-290;140;-291;-217;77;151
282;74;261;127;205;26
227;293;-269;298;95;-290
-160;34;330;335;-247;339
330;-11;217;-258;-56;300
211;331;112;-335;252;313
129;186;175;-78;112;-237
149;-338;-161;-327;-290;233
140;-132;325;-336;-44;-85
191;213;-226;-7;-39;105
151;184;-161;130;112;-243
-275;-1;331;-115;61;-199
181;-177;4;144;282;331
34;-261;-253;-175;246;-177
227;-185;309;-108;-219;-179
84;-19;-107;239;61;36
301;-154;185;183;-86;49
-306;-322;22;201;313;-267
50;-22;-352;-117;-244;212
-136;21;-241;74;-171;111
136;179;-36;-300;-195;298
-251;235;28;358;-304;-41
-284;333;-357;198;229;266
-300;-72;-173;216;-49;296
-229;-170;-256;-262;266;57
36;-256;255;88;-107;10
-71;-306;-188;-272;-228;-187
-60;-325;290;321;-7;-8
-117;288;-94;-280;202;-79
-186;-69;-291;-265;319;329
54;-317;-191;-106;232;-349
-329;-239;108;167;107;-35
34;-147;176;-224;135;-228
-95;91;202;-302;310;199
-10;-46;-38;-140;6;8
229;213;104;-88;225;24
-108;317;271;36;88;63
-211;-143;-21;-194;248;-220
-198;-237;-196;-46;-136;305
-50;-227;292;346;-44;-280
-174;-66;68;-171;74;152
-201;-276;-147;-131;-55;6
-299;-171;217;-339;309;166
-8;57;-189;-30;334;34
15;-194;-8;89;129;-75
-96;352;-333;278;298;214
-289;-172;-119;130;-262;160
-284;111;-4;201;155;291
282;-120;143;-218;-338;176
0;-14;292;79;85;259
220;55;-229;-188;279;-340
-7;-239;345;153;0;-21
-318;131;-330;-309;16;-291
229;229;160;-252;115;13
341;107;217;-33;-49;235
-300;-264;-235;-79;239;219
-317;-73;19;-60;113;92
-150;-49;-349;349;-240;-284
-92;-218;-7;-116;326;303
-323;171;-166;-56;35;319
-59;348;-143;145;120;28
143;120;-232;-268;360;-237
-337;44;275;122;-223;-95
-28;347;-248;256;104;-89
-223;-52;-13;-274;65;-197
-83;60;-179;-151;84;-169
234;348;166;-113;61;-283
293;274;229;-173;68;-344
-54;-135;-244;-232;-56;-293
71;-21;141;144;100;-336
-311;-130;22;111;-67;231
157;338;23;-126;-284;80
201;-55;-295;-168;-250;-158
-43;20;-31;271;13;320
99;330;-187;127;-152;124
141;-311;-177;-199;121;248
-112;202;126;-356;74;-82
300;-360;-27;-55;-28;195
-128;205;-21;-335;-234;160
-19;-250;-115;77;-222;172
-185;301;-167;191;-224;-153
-295;55;132;34;-54;104
106;129;98;321;-210;151
-190;-274;77;-36;-30;117
195;-108;117;-60;247;240
-176;82;59;29;267;-170
-131;-275;317;105;-15;100
32;106;32;159;16;356
-203;-284;-281;-315;-69;-37
-97;190;92;196;312;341
-222;-260;142;-293;18;22
260;-11;-77;124;174;14
-110;-252;62;-171;-328;184
-185;-42;135;-101;170;-76
132;147;-42;-346;-122;-55
-166;-218;232;-51;280;-78
194;-74;222;184;-88;-205
209;324;-124;123;-44;240
194;-240;261;353;10;277
63;-249;-216;-67;179;235
209;-131;25;-296;-280;-262
129;-3;-224;-4;-254;-321
253;44;310;142;60;227
273;353;-360;263;81;353
20;-15;217;-196;-1;289
54;249;172;62;-183;120
-300;91;116;166;282;348
194;59;309;58;-348;-273
262;-11;249;-210;38;94
-337;83;-99;-325;-8;-222
-272;-212;-255;-224;-330;97
-157;28;141;-1;26;-40
-271;-7;255;270;-166;-210
47;101;-60;-212;323;-301
-284;-258;-240;87;53;-323
311;165;171;-315;260;313
349;259;206;10;-232;-73
-264;-338;317;-143;-147;-120
-24;107;-342;247;43;255
-110;-39;-321;-233;117;-122
287;-275;352;29;149;360
-153;-62;-25;190;229;-288
-232;-101;-320;16;-118;-234
-210;292;126;-23;297;-286
177;170;45;-228;70;-144
-264;-207;285;-309;-186;-322
-42;-351;286;-219;-293;-139
-32;-287;357;-121;-146;-316
-145;-327;4;188;95;-296
-302;200;292;24;-282;235
-117;-149;178;-353;-326;121
75;19;166;149;203;-153
139;41;-75;-316;202;-117
78;174;-285;-268;36;-11
282;216;169;-323;-308;-297
215;319;132;-265;161;-281
-276;101;-123;111;180;60
173;-191;169;339;265;-298
-96;-94;133;71;209;-95
-212;-298;196;-212;-81;37
-195;102;-11;-251;203;-288
-148;-189;22;-295;-68;-285
-280;205;-150;75;335;-49
140;186;-49;112;-281;313
-225;-169;215;-9;194;-75
-164;-334;125;-51;-35;79
-318;-133;197;142;-270;-267
-294;-355;-55;112;161;23
-282;95;-269;-264;-289;-258
-239;-219;-132;-132;-204;-179
283;147;40;-228;-208;-305
298;149;42;-135;-241;88
352;-238;-175;-74;-307;133
-70;348;-71;87;-249;-86
-244;186;268;-108;134;-148
22;240;70;-119;-145;-34
-56;-101;42;175;-55;-51
-270;-343;-151;-132;111;329
314;-30;-187;190;187;174
176;-284;131;-26;-208;-289
233;-234;-243;120;284;12
146;-250;327;29;130;-334
